Date,Open,High,Low,Close,Adj Close,Volume
2022-11-18,0.065314,0.069486,0.062822,0.067022,0.067022,3668252
2022-11-19,0.067014,0.070872,0.062969,0.065594,0.065594,2192786
2022-11-20,0.065683,0.070349,0.061699,0.063061,0.063061,2772031
2022-11-21,0.063106,0.067753,0.054903,0.055790,0.055790,2959872
2022-11-22,0.055809,0.062230,0.055442,0.059536,0.059536,2459583
2022-11-23,0.059480,0.063993,0.057082,0.058315,0.058315,2127140
2022-11-24,0.058315,0.064236,0.058213,0.061541,0.061541,2013581
2022-11-25,0.061534,0.064274,0.059461,0.059997,0.059997,1813260
2022-11-26,0.060057,0.063655,0.058444,0.060051,0.060051,1717934
2022-11-27,0.060054,0.062238,0.057406,0.061610,0.061610,836295
2022-11-28,0.061602,0.061972,0.057896,0.058824,0.058824,764752
2022-11-29,0.058831,0.062218,0.058831,0.059620,0.059620,1087511
2022-11-30,0.059589,0.064546,0.059287,0.062628,0.062628,2064224
2022-12-01,0.062662,0.065653,0.059735,0.063336,0.063336,2189435
2022-12-02,0.063403,0.064896,0.062137,0.063832,0.063832,2005773
2022-12-03,0.063861,0.065358,0.061844,0.063257,0.063257,2485865
2022-12-04,0.063275,0.068987,0.063203,0.066466,0.066466,2182036
2022-12-05,0.066435,0.077728,0.066302,0.075476,0.075476,3505445
2022-12-06,0.075190,0.080288,0.072456,0.078855,0.078855,2946453
2022-12-07,0.078818,0.086729,0.078601,0.082100,0.082100,2500897
2022-12-08,0.082108,0.085730,0.081005,0.085304,0.085304,1473595
2022-12-09,0.085332,0.085362,0.074936,0.076119,0.076119,1755913
2022-12-10,0.076078,0.083025,0.076078,0.081224,0.081224,2094245
2022-12-11,0.081225,0.086640,0.080008,0.084006,0.084006,1358096
2022-12-12,0.084032,0.084032,0.077606,0.080281,0.080281,1447583
2022-12-13,0.080260,0.081393,0.075456,0.077529,0.077529,902435
2022-12-14,0.077590,0.078369,0.071502,0.072740,0.072740,730555
2022-12-15,0.072671,0.076686,0.069637,0.070352,0.070352,942574
2022-12-16,0.070477,0.074685,0.069210,0.070133,0.070133,1140626
2022-12-17,0.070143,0.072823,0.061342,0.069497,0.069497,920829
2022-12-18,0.069488,0.072991,0.069276,0.070671,0.070671,682282
2022-12-19,0.070427,0.073445,0.070167,0.071662,0.071662,861537
2022-12-20,0.071686,0.074494,0.068822,0.073516,0.073516,710463
2022-12-21,0.073505,0.075054,0.071966,0.072659,0.072659,588743
2022-12-22,0.072669,0.075565,0.070470,0.073139,0.073139,687872
2022-12-23,0.073147,0.074838,0.071781,0.072958,0.072958,705266
2022-12-24,0.073024,0.075175,0.071985,0.073051,0.073051,547154
2022-12-25,0.073049,0.074407,0.072093,0.072628,0.072628,427896
2022-12-26,0.072667,0.073102,0.063188,0.063264,0.063264,1295945
2022-12-27,0.063286,0.068067,0.063286,0.064233,0.064233,713264
2022-12-28,0.064150,0.065621,0.060377,0.061647,0.061647,651955
2022-12-29,0.061646,0.063654,0.058062,0.059273,0.059273,922823
2022-12-30,0.059266,0.060440,0.051857,0.058066,0.058066,1194950
2022-12-31,0.058036,0.058247,0.055355,0.057374,0.057374,635290
2023-01-01,0.057356,0.058612,0.055003,0.055663,0.055663,594810
2023-01-02,0.055661,0.059203,0.055526,0.057674,0.057674,472051
2023-01-03,0.057681,0.057727,0.055491,0.056125,0.056125,494352
2023-01-04,0.056125,0.056689,0.053698,0.056010,0.056010,772507
2023-01-05,0.055960,0.056097,0.053744,0.054541,0.054541,536967
2023-01-06,0.054494,0.054929,0.051564,0.052649,0.052649,751153
2023-01-07,0.052667,0.054094,0.052175,0.053550,0.053550,525050
2023-01-08,0.053595,0.055214,0.051568,0.054236,0.054236,583303
2023-01-09,0.054246,0.056600,0.052874,0.053169,0.053169,401762
2023-01-10,0.053138,0.055518,0.051992,0.054447,0.054447,663512
2023-01-11,0.054442,0.060937,0.053011,0.056095,0.056095,1507900
2023-01-12,0.059790,0.062177,0.056777,0.057052,0.057052,1083741
2023-01-13,0.057062,0.058737,0.055761,0.057514,0.057514,589535
2023-01-14,0.057510,0.059155,0.055592,0.058579,0.058579,678973
2023-01-15,0.058612,0.061861,0.058449,0.060796,0.060796,824759
2023-01-16,0.060742,0.061158,0.058221,0.058678,0.058678,562696
2023-01-17,0.058716,0.059955,0.055178,0.056184,0.056184,725027
2023-01-18,0.056181,0.056586,0.052384,0.053314,0.053314,682730
2023-01-19,0.053314,0.053785,0.051543,0.051976,0.051976,435833
2023-01-20,0.051994,0.055246,0.051315,0.053295,0.053295,622228
2023-01-21,0.053296,0.063174,0.053296,0.062356,0.062356,1030714
2023-01-22,0.062337,0.062408,0.059019,0.059440,0.059440,1142593
2023-01-23,0.059459,0.060531,0.058248,0.058822,0.058822,1198594
2023-01-24,0.058797,0.060928,0.058593,0.059996,0.059996,1089207
2023-01-25,0.060013,0.064039,0.059167,0.061117,0.061117,1424615
2023-01-26,0.061117,0.067821,0.059922,0.066489,0.066489,1823133
2023-01-27,0.066493,0.071296,0.064913,0.069695,0.069695,1389014
2023-01-28,0.069684,0.073557,0.069394,0.073379,0.073379,1702897
2023-01-29,0.073340,0.077966,0.071813,0.072958,0.072958,2218281
2023-01-30,0.072921,0.073867,0.064137,0.066111,0.066111,1866609
2023-01-31,0.066111,0.066168,0.060467,0.060985,0.060985,2543982
2023-02-01,0.061005,0.061078,0.055822,0.059036,0.059036,1178538
2023-02-02,0.059047,0.063431,0.058215,0.062086,0.062086,1264585
2023-02-03,0.062087,0.064351,0.062022,0.062287,0.062287,842068
2023-02-04,0.062256,0.062423,0.059499,0.061974,0.061974,653710
2023-02-05,0.061942,0.062694,0.059238,0.060192,0.060192,578720
2023-02-06,0.060229,0.061343,0.058769,0.059640,0.059640,497880
2023-02-07,0.059648,0.062423,0.058737,0.059985,0.059985,999882
2023-02-08,0.059737,0.066882,0.059396,0.063852,0.063852,1116670
2023-02-09,0.063895,0.092368,0.063431,0.072846,0.072846,5056371
2023-02-10,0.072851,0.088466,0.072298,0.076282,0.076282,6417694
2023-02-11,0.076314,0.085268,0.076314,0.083198,0.083198,4751505
2023-02-12,0.082775,0.091092,0.081855,0.089602,0.089602,3726780
2023-02-13,0.089643,0.089643,0.076729,0.077938,0.077938,3698548
2023-02-14,0.077868,0.083212,0.072389,0.072480,0.072480,6475222
2023-02-15,0.072498,0.082398,0.072498,0.081299,0.081299,9369688
2023-02-16,0.081223,0.089681,0.081223,0.087850,0.087850,9672599
2023-02-17,0.087788,0.089080,0.076860,0.078073,0.078073,4181617
2023-02-18,0.078080,0.086351,0.074559,0.078470,0.078470,2979441
2023-02-19,0.078410,0.079666,0.075669,0.076672,0.076672,1339364
2023-02-20,0.076709,0.076838,0.066430,0.069235,0.069235,1561341
2023-02-21,0.069250,0.073472,0.067276,0.069408,0.069408,1628129
2023-02-22,0.069413,0.070950,0.062671,0.064306,0.064306,1999282
2023-02-23,0.064255,0.067014,0.064013,0.066764,0.066764,1065329
2023-02-24,0.066767,0.068606,0.062159,0.062271,0.062271,1158454
2023-02-25,0.062255,0.065040,0.060676,0.061033,0.061033,908382
2023-02-26,0.061043,0.065824,0.060330,0.064712,0.064712,1283751
2023-02-27,0.064712,0.067563,0.061460,0.062751,0.062751,1396396
2023-02-28,0.062895,0.068171,0.060708,0.061207,0.061207,1756863
2023-03-01,0.061208,0.064340,0.059739,0.059801,0.059801,1296870
2023-03-02,0.059819,0.063823,0.059802,0.060482,0.060482,1519712
2023-03-03,0.060492,0.060492,0.058068,0.058935,0.058935,949156
2023-03-04,0.058942,0.060391,0.058131,0.058762,0.058762,921834
2023-03-05,0.058730,0.059869,0.056269,0.056349,0.056349,918110
2023-03-06,0.056339,0.056547,0.055472,0.056164,0.056164,1155611
2023-03-07,0.056229,0.059428,0.055955,0.057909,0.057909,1471512
2023-03-08,0.057901,0.060276,0.056100,0.056352,0.056352,1146295
2023-03-09,0.056380,0.057801,0.050292,0.050385,0.050385,1377913
2023-03-10,0.050354,0.052942,0.049444,0.052942,0.052942,1736189
2023-03-11,0.053053,0.058752,0.052999,0.057135,0.057135,1756633
2023-03-12,0.057127,0.058278,0.053043,0.055720,0.055720,1552800
2023-03-13,0.055704,0.058631,0.053634,0.058311,0.058311,2507631
2023-03-14,0.058353,0.060990,0.055545,0.057520,0.057520,4832876
